Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
LoginTestCases,Firefox 66.0,,2019-04-21 11:28:21,2019-04-21 11:29:24,1m - 2.682s,FAILED
,,,,,,
Test Cases/AddLead,Firefox 66.0,,2019-04-21 11:28:21,2019-04-21 11:28:45,24.136s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Firefox 66.0,,2019-04-21 11:28:22,2019-04-21 11:28:45,22.907s,PASSED
maximizeWindow(),Firefox 66.0,,2019-04-21 11:28:45,2019-04-21 11:28:45,0.059s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Firefox 66.0,,2019-04-21 11:28:45,2019-04-21 11:28:45,0.246s,PASSED
"setEncryptedText(findTestObject(""Page_Login/input_Log In_password""), password)",Firefox 66.0,,2019-04-21 11:28:45,2019-04-21 11:28:45,0.518s,FAILED
,,,,,,
Test Cases/AddLead,Firefox 66.0,,2019-04-21 11:28:45,2019-04-21 11:29:03,17.572s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Firefox 66.0,,2019-04-21 11:28:45,2019-04-21 11:29:03,17.193s,PASSED
maximizeWindow(),Firefox 66.0,,2019-04-21 11:29:03,2019-04-21 11:29:03,0.020s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Firefox 66.0,,2019-04-21 11:29:03,2019-04-21 11:29:03,0.158s,PASSED
"setEncryptedText(findTestObject(""Page_Login/input_Log In_password""), password)",Firefox 66.0,,2019-04-21 11:29:03,2019-04-21 11:29:03,0.181s,FAILED
,,,,,,
Test Cases/AddLead,Firefox 66.0,,2019-04-21 11:29:03,2019-04-21 11:29:20,17.112s,FAILED
"openBrowser(""https://staging.clickhook.io/login"")",Firefox 66.0,,2019-04-21 11:29:03,2019-04-21 11:29:18,15.378s,PASSED
maximizeWindow(),Firefox 66.0,,2019-04-21 11:29:18,2019-04-21 11:29:18,0.004s,PASSED
"setText(findTestObject(""Page_Login/input_Log In_identification""), username)",Firefox 66.0,,2019-04-21 11:29:18,2019-04-21 11:29:19,0.207s,PASSED
"setEncryptedText(findTestObject(""Page_Login/input_Log In_password""), password)",Firefox 66.0,,2019-04-21 11:29:19,2019-04-21 11:29:20,1.492s,FAILED
